SITE,DATE,Date,WEIR-REP,Watershed,Sample,,Sample Location 
Hubbard Brook ,6/17/2019,6/17/2019,HBK-04,hbk,ST190479,,
Hubbard Brook ,6/24/2019,6/24/2019,HBK-04,hbk,ST190519,,
Hubbard Brook ,7/1/2019,7/1/2019,HBK-04,hbk,ST190559,,
Hubbard Brook ,7/8/2019,7/8/2019,HBK-04,hbk,ST19599,,
Hubbard Brook ,7/15/2019,7/15/2019,HBK-04,hbk,ST190639,,
Hubbard Brook ,7/22/2019,7/22/2019,HBK-04,hbk,ST190679,,
Hubbard Brook ,7/29/2019,7/29/2019,HBK-04,hbk,ST190719,,
Hubbard Brook ,8/5/2019,8/5/2019,HBK-04,hbk,ST190759,,
Hubbard Brook ,8/12/2019,8/12/2019,HBK-04,hbk,ST190799,,
Hubbard Brook ,8/19/2019,8/19/2019,HBK-04,hbk,ST190839,,
Hubbard Brook ,8/26/2019,8/26/2019,HBK-04,hbk,ST190879,,
Hubbard Brook ,9/3/2019,9/3/2019,HBK-04,hbk,ST190919,,
Hubbard Brook ,9/9/2019,9/9/2019,HBK-04,hbk,ST190959,,
Hubbard Brook ,9/16/2019,9/16/2019,HBK-04,hbk,ST191999,,
Hubbard Brook ,9/23/2019,9/23/2019,HBK-04,hbk,ST191039,,
Hubbard Brook ,9/30/2019,9/30/2019,HBK-04,hbk,ST191079,,
Hubbard Brook ,10/7/2019,10/7/2019,HBK-04,hbk,ST191119,,
Hubbard Brook ,10/15/2019,10/15/2019,HBK-04,hbk,ST191159,,
Hubbard Brook ,10/21/2019,10/21/2019,HBK-04,hbk,ST191199,,
Hubbard Brook ,10/28/2019,10/28/2019,HBK-04,hbk,ST191239,,
Hubbard Brook ,11/4/2019,11/4/2019,HBK-04,hbk,ST191279,,
Hubbard Brook ,11/11/2019,11/11/2019,HBK-04,hbk,ST191319,,
Hubbard Brook ,11/18/2019,11/18/2019,HBK-04,hbk,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,HBK-04,hbk,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,HBK-04,hbk,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,HBK-05,hbk,,NS,
Hubbard Brook ,4/1/2019,4/1/2019,HBK-05,hbk,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,HBK-05,hbk,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,HBK-05,hbk,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,HBK-05,hbk,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,HBK-05,hbk,,NS,
Hubbard Brook ,5/6/2019,5/6/2019,HBK-05,hbk,ST190240,,
Hubbard Brook ,5/13/2019,5/13/2019,HBK-05,hbk,ST190280,,
Hubbard Brook ,5/20/2019,5/20/2019,HBK-05,hbk,ST190320,,
Hubbard Brook ,5/28/2019,5/28/2019,HBK-05,hbk,ST190360,,
Hubbard Brook ,6/2/2019,6/2/2019,HBK-05,hbk,ST190400,,
Hubbard Brook ,6/10/2019,6/10/2019,HBK-05,hbk,ST190440,,
Hubbard Brook ,6/17/2019,6/17/2019,HBK-05,hbk,ST190480,,
Hubbard Brook ,6/24/2019,6/24/2019,HBK-05,hbk,ST190520,,
Hubbard Brook ,7/1/2019,7/1/2019,HBK-05,hbk,ST190560,,
Hubbard Brook ,7/8/2019,7/8/2019,HBK-05,hbk,ST190600,,
Hubbard Brook ,7/15/2019,7/15/2019,HBK-05,hbk,ST190640,,
